Window,Start time,Duration
Sona Mohapatra - Ambarsariya,2026-04-18 11:38:34,47.53
DJ X - Up next,2026-04-18 11:39:22,8.01
Steve Lacy - Dark Red,2026-04-18 11:39:30,162.1
The Marías - No One Noticed,2026-04-18 11:42:12,10.43
Desktop/None,2026-04-18 11:42:23,38.02
Windows Default Lock Screen,2026-04-18 11:43:01,2.0
The Marías - No One Noticed,2026-04-18 11:43:03,1.0
JVKE - her,2026-04-18 11:43:04,130.09
Arctic Monkeys - No. 1 Party Anthem,2026-04-18 11:45:14,20.01
New Tab - Google Chrome,2026-04-18 11:45:34,1.0
(9) YouTube - Google Chrome,2026-04-18 11:45:35,29.02
Task View,2026-04-18 11:46:04,2.0
tracker.py - focus-guard - Visual Studio Code,2026-04-18 11:46:06,3.0
Task Switching,2026-04-18 11:46:09,2.0
(9) YouTube - Google Chrome,2026-04-18 11:46:11,78.06
Task View,2026-04-18 11:47:29,1.0
(9) YouTube - Google Chrome,2026-04-18 11:47:30,14.01
Task Switching,2026-04-18 11:47:44,1.0
Spotify Premium,2026-04-18 11:47:45,1.01
(9) rageelixir - YouTube - Google Chrome,2026-04-18 11:47:46,3.0
(9) RageElixir - YouTube - Google Chrome,2026-04-18 11:47:49,46.03
(9) YouTube - Google Chrome,2026-04-18 11:48:35,1.01
(9) I FOUND Granny Horror in Minecraft Pocket Edition - YouTube - Google Chrome,2026-04-18 11:48:36,308.22
New Tab - Google Chrome,2026-04-18 11:53:44,5.0
hagi jersey number - Google Search - Google Chrome,2026-04-18 11:53:49,24.02
ramires jersey number - Google Search - Google Chrome,2026-04-18 11:54:13,11.01
murillo jersey number - Google Search - Google Chrome,2026-04-18 11:54:24,13.01
New Tab - Google Chrome,2026-04-18 11:54:37,1.0
(9) I FOUND Granny Horror in Minecraft Pocket Edition - YouTube - Google Chrome,2026-04-18 11:54:38,216.17
(9) RageElixir - YouTube - Google Chrome,2026-04-18 11:58:14,42.03
(9) I FOUND Granny Horror in Minecraft Pocket Edition - YouTube - Google Chrome,2026-04-18 11:58:56,1.0
(9) Do NOT Play Minecraft Pocket Edition at 3:00 AM (SECRET RECORDING) - YouTube - Google Chrome,2026-04-18 11:58:57,126.09
(9) RageElixir - YouTube - Google Chrome,2026-04-18 12:01:03,41.04
(9) Do NOT Play Minecraft Pocket Edition at 3:00 AM (SECRET RECORDING) - YouTube - Google Chrome,2026-04-18 12:01:44,1.01
(9) IT WAS TOO LATE TO SAVE HER.. - YouTube - Google Chrome,2026-04-18 12:01:45,1083.8
